No,Date,First,FirstPrize,Second,SecondPrize,Third,ThirdPrize,Fourth,FourthPrize,Fifth,FifthPrize,X1,X2,X3,X4,X5,X6,Bonus
1,20021207,0,0,1,143934100,28,5140500,2537,113400,40155,10000,10,23,29,33,37,40,16
2,20021214,1,2002006800,2,94866800,103,1842000,3763,100800,55480,10000,9,13,21,25,32,42,2
3,20021221,1,2000000000,0,0,139,1174100,5940,54900,73256,10000,11,16,19,21,27,31,30
4,20021228,0,0,1,211191200,29,7282400,2777,152100,52382,10000,14,27,30,31,40,42,2
5,20030104,0,0,0,0,42,6033800,3043,166500,60434,10000,16,24,29,40,41,42,3
6,20030111,1,6574451700,3,196297600,138,4267300,13445,87600,176375,10000,14,15,26,27,40,42,34
7,20030118,0,0,9,48165000,270,1605500,13229,65500,206259,10000,2,9,16,25,26,40,42
8,20030125,0,0,6,131555000,348,2268100,14279,110500,248242,10000,8,19,25,34,37,39,9
9,20030201,0,0,4,769456500,352,8743800,23672,260000,603375,10000,2,4,16,17,36,39,14
10,20030208,13,6430437900,236,40813400,11247,856400,703234,27300,3410846,10000,9,25,30,33,41,44,6
11,20030215,5,4780152300,11,362132700,428,9307100,38515,206800,612805,10000,1,7,36,37,41,42,14
12,20030222,12,1348845700,27,99914400,1903,1417500,76845,70200,1115084,10000,2,11,21,25,39,45,44
13,20030301,0,0,6,433309300,450,5777400,29601,175600,726751,10000,22,23,25,37,38,42,26
14,20030308,4,9375048300,28,130363400,1421,2568700,77736,93900,1341756,10000,2,6,12,31,33,40,15
15,20030315,1,17014245000,16,177231700,509,5571100,39202,144600,827538,10000,3,4,16,30,31,37,13
16,20030322,4,4377146100,12,243174700,862,3385200,47255,123500,870770,10000,6,7,24,37,38,40,33
17,20030329,3,5349491200,9,297193900,1142,2342100,61651,86700,961162,10000,3,4,9,17,32,37,1
18,20030405,0,0,15,175017300,664,3953700,38453,136500,693323,10000,3,12,13,19,32,35,29
19,20030412,1,40722959400,14,297278500,697,5971100,55154,150900,1135991,10000,6,30,38,39,40,43,26
20,20030419,1,19352212800,14,230383400,888,3632100,48158,133900,827470,10000,10,14,18,20,23,30,41
21,20030426,23,797475400,26,117576500,2008,1522400,82996,73600,1155368,10000,6,12,17,18,31,32,21
22,20030503,4,4552194900,32,94837300,827,3669600,53248,113900,937961,10000,4,5,6,8,17,39,25
23,20030510,4,4317947700,23,125157900,1372,2098100,63717,90300,990081,10000,5,13,17,18,33,42,44
24,20030517,0,0,18,176023700,925,3425300,52777,120000,755905,10000,7,8,27,29,36,43,6
25,20030524,2,24227745300,28,175267400,1111,4417100,58903,166600,1096200,10000,2,4,21,26,43,44,16
26,20030531,5,3495069900,39,74680900,1340,2173500,72252,80600,1097093,10000,4,5,7,18,20,25,31
27,20030607,2,9543982500,16,198832900,579,5494500,33509,189800,625925,10000,1,20,26,28,37,43,27
28,20030614,10,1700361100,22,128815200,1164,2434600,57870,97900,938483,10000,9,18,23,25,35,37,1
29,20030621,5,3552594000,17,174146700,752,3936800,42347,139800,765661,10000,1,5,13,34,39,40,11
30,20030628,2,8728555500,22,132250800,872,3336600,42319,137500,710466,10000,8,17,20,35,36,44,4
31,20030705,2,8106672900,29,93180100,1130,2391300,58406,92500,863641,10000,7,9,18,23,28,35,32
32,20030712,10,1634528300,49,55596200,1203,2264500,52704,103300,834746,10000,6,14,19,25,34,44,11
33,20030719,1,14903517600,41,60583400,1063,2336700,52142,95200,888943,10000,4,7,32,33,40,41,9
34,20030726,5,3056918000,45,56609500,1264,2015300,68519,74300,922063,10000,9,26,35,37,40,42,2
35,20030802,3,5054598200,24,105304100,933,2708700,46866,107800,779854,10000,2,3,11,26,37,43,39
36,20030809,1,16014475800,19,140477800,768,3475300,38321,139300,673755,10000,1,10,23,26,28,40,31
37,20030816,3,4985999400,20,124649900,857,2908900,46334,107600,782490,10000,7,27,30,33,35,37,42
38,20030823,3,5374866400,18,149301800,679,3957900,36377,147700,681031,10000,16,17,22,30,37,43,36
39,20030830,6,2623748800,25,104949900,699,3753500,38752,135400,680975,10000,6,7,13,15,21,43,8
40,20030906,13,1147652400,44,56513100,1055,2356900,65081,76400,798374,10000,7,13,18,19,25,26,6
41,20030913,0,0,21,109404000,700,3282100,33805,135900,583744,10000,13,20,23,35,38,43,34
42,20030920,6,6899280100,35,131479800,1405,3275200,79543,115700,1393691,10000,17,18,19,21,23,32,1
43,20030927,1,17749630800,21,140870000,926,3194600,45078,131200,776043,10000,6,31,35,38,39,44,1
44,20031004,5,3362155800,23,121817200,785,3569100,40092,139700,696051,10000,3,11,21,30,38,45,39
45,20031011,2,8356417800,27,103165600,890,3129700,45470,122500,775339,10000,1,10,20,27,33,35,17
46,20031018,3,5327758800,39,68304600,1043,2554000,45243,117700,745199,10000,8,13,15,23,31,38,39
47,20031025,5,3250042400,11,246215300,902,3002600,40580,133400,679466,10000,14,17,26,31,36,45,27
48,20031101,6,2415673600,25,96626900,1279,1888700,58047,83200,874668,10000,6,10,18,26,37,38,3
49,20031108,7,1967504600,49,46845300,1487,1543600,66451,69000,929635,10000,4,7,16,19,33,40,30
50,20031115,3,5227061400,14,186680700,826,3164000,40296,129700,664631,10000,2,10,12,15,22,44,1
51,20031122,6,2421117000,26,93119800,961,2519300,45707,105900,706567,10000,2,3,11,16,26,44,35
52,20031129,4,3900844900,13,200043300,669,3887200,34665,150000,619109,10000,2,4,15,16,20,29,1
53,20031206,3,5014371000,25,100287400,802,3126100,45372,110500,742615,10000,7,8,14,32,33,39,42
54,20031213,3,5148626600,15,171620800,719,3580400,34854,147700,617337,10000,1,8,21,27,36,39,37
55,20031220,2,7088799600,24,98455500,728,3245700,42550,111000,746855,10000,17,21,31,37,40,44,7
56,20031227,4,3777570900,29,86840700,1359,1853100,41156,122300,744566,10000,10,14,30,31,33,37,19
57,20040103,4,4114411900,25,109717600,960,2857200,44050,124500,763692,10000,7,10,16,25,29,44,6
58,20040110,4,3676429200,39,62844900,1318,1859600,58215,84200,880954,10000,10,24,25,33,40,44,1
59,20040117,4,4127587300,23,119640200,651,4226900,35026,157100,626460,10000,6,29,36,39,41,45,13
60,20040124,7,2172504600,27,93873600,1088,2329500,45712,110800,735708,10000,2,8,25,36,39,42,11
61,20040131,5,3541038800,11,268260500,789,3740000,41227,143100,714784,10000,14,15,19,30,38,43,8
62,20040207,1,15817286400,22,119827900,829,3179900,41686,126400,700804,10000,3,8,15,27,29,35,21
